musicid,title,expert,master,ultima
2420,Shine In The Sky☆,8.5,12.2,0
2421,よりみちリトルスター,9,12.9,0
2489,ハイファイ☆デイズ,9.5,12.7,0
2414,Pris-Magic!,8.5,12.2,0
2415,放課後マーメイド,9,12.1,0
2389,新時代（ウタfrom ONE PIECE FILM RED）,9,12.2,0
2390,祝福,8.5,12.1,0
2391,刃渡り2億センチ(TV edit),12,14.5,0
2392,おとせサンダー,9.5,11.9,0
2433,花となれ,9,11.9,0
2434,カノン,9,12.8,0
2435,異星にいこうね,10.4,13.2,0
2436,悪魔の踊り方,8,12.6,0
2437,ド屑,10.1,13,0
2418,独りんぼエンヴィー,8,11.4,0
2419,ゴー・トゥ・大都会,11.3,14.1,0
2393,カレシのジュード,9.5,12.9,0
2394,サラマンダー,9,12,0
2412,幻想症候群,9,11.8,0
2413,夜のサーカス,9.5,13.5,0
2398,neu,13.8,14.9,0
2422,Hydra,11.5,14.4,0
2425,Survive,11.2,13.8,0
2397,もぺもぺ,12.5,14.2,0
2416,Snow Colored Score,8.5,11.1,14.2
2408,プライマリー進化論,9,12.6,0
2399,雷切-RAIKIRI-,12.5,14.7,0
2432,Aiolos,13.6,14.8,0
2352,STARRED HEART,8,12.4,0
2426,シンデレラディスコ,8,12.3,0
2438,夏色花火,8.5,11.3,0
2372,進め！マイウェイ！,9,12,0
2400,LAMIA,13.9,15.1,0
2401,オンソクデイズ!!,12.3,14.8,0
2417,LiftOff,12.3,14.6,0
2404,やめらんないな!,9,12.2,0
2405,Dive a Wave,9.5,12.9,0
2406,ASH,10,14.4,0
2403,ウルガレオン,13.3,14.6,0
2427,うたかたのせかいで,13.4,14.7,0
2428,とあちゃんのおもちゃ箱,12,14.8,0
2429,白庭,12.2,14.3,0
2430,REL0VE REL1VE,12.5,13.9,0
2431,deadeye,12.8,14.6,0
8264,Revived,10.9,14.2,0
8265,モア！ジャンプ！モア！,0,0,0
8266,お空のニュークリアフュージョン道場,0,0,0
8261,痛快リズムアクション「B.B.K.K.B.K.K.」,0,0,0
8262,なにやってもうまくいかない,0,0,0
8263,Aleph-0,0,0,0
2386,青春コンプレックス,9,12.6,0
2387,ギターと孤独と蒼い惑星,9.5,12.4,0
2388,INTERNET OVERDOSE,8.5,13,0
2359,五等分のカタチ,9,11.3,0
2395,酔いどれ知らず,10.1,13.5,0
2360,魔法少女とチョコレゐト,8.5,13,0
2361,少女レイ,9,12.3,0
2411,Quon,11.3,13.8,0
2362,超常マイマイン,10,12,0
2363,VIIIbit Explorer,12.2,14.3,0
2364,MAXRAGE,11.9,14.2,0
2365,ぱくぱく☆がーる,9.5,12.2,0
2366,Resolution,10.9,13.9,0
2334,SUPER AMBULANCE,13.5,14.5,0
2407,Makear,13.9,15.3,0
132,イカサマライフゲイム,9.5,12.5,14.1
244,回レ！雪月花,9.5,12.8,14
323,Dreadnought,10.9,14.5,14.7
330,ドキドキDREAM!!!,9.5,12.5,13.8
67,昵懇レファレンス,9,11.5,13.1
166,裏表ラバーズ,9.5,12.1,14
2443,リハーサルタイム,8.5,12.7,0
2444,Cult future,13.4,14.8,0
2439,夢と幻想の終点にて,11.4,14.1,0
2440,Superbia,13.5,14.8,0
2441,空間創造理論,12.3,14.5,0
2442,βlαnoir,13.8,15.2,0
2445,Night Spider,9,12.9,0
2446,#あくあ色ぱれっと,9,11.8,0
2447,いつかオトナになれるといいね。,9.5,12.8,0
2448,story,10.3,13.7,0
2449,ばかみたい【Taxi Driver Edition】,8,12.7,0
2450,セガサターン起動音[H.][Remix],10.2,13.8,0
2451,スン(マイル)フラワー～Sun(Mile)Flower,9,12,0
2452,あなたは世界の終わりにずんだを食べるのだ,7.5,12.7,0
2453,ちょっとあざとい,8.5,12.3,0
2454,snooze,10.1,13.9,0
2455,ONE SAME GOAL,10,13.7,0
2456,Vibes 2k20,12,14.5,0
8267,ETERNAL DRAIN,0,0,0
8268,M.S.S.Planet,0,0,0
8269,月の光,0,0,0
